date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:28:33	59677/59677	---M-Z	200	added ('OK')	text/html	etag:%22e91d-556b527a4bc75-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-session-ideal-timeout.html	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/material/ui-session-ideal-timeout.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:33	91291/91291	---M-Z	200	added ('OK')	text/html	etag:%221649b-556b5273d2ce4-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-bootstrap.html	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/material/ui-bootstrap.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:33	60598/60598	---M-Z	200	added ('OK')	text/html	etag:%22ecb6-556b527497950-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-breadcrumb.html	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/material/ui-breadcrumb.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:34	65795/65795	---M-Z	200	added ('OK')	text/html	etag:%2210103-556b5273e6564-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-bootstrap-switch.html	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/material/ui-bootstrap-switch.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:34	71952/71952	---M-Z	200	added ('OK')	text/html	etag:%2211910-556b5277dd394-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-list-media.html	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/material/ui-list-media.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:34	69810/69810	---M-Z	200	added ('OK')	text/html	etag:%22110b2-556b527a30ec6-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-ribbons.html	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/material/ui-ribbons.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:34	69950/69950	---M-Z	200	added ('OK')	text/html	etag:%221113e-556b5276dddaa-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-grid.html	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/material/ui-grid.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:34	71724/71724	---M-Z	200	added ('OK')	text/html	etag:%221182c-556b5275aea21-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-carousel.html	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/material/ui-carousel.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:35	59155/59155	---M-Z	200	added ('OK')	text/html	etag:%22e713-556b52761819e-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-date-paginator.html	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/material/ui-date-paginator.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:36	61420/61420	---M-Z	200	added ('OK')	text/html	etag:%22efec-556b52765b7bd-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-dragable-portlet.html	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/material/ui-dragable-portlet.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:36	152467/152467	---M-Z	200	added ('OK')	text/html	etag:%2225393-558ebd99838a8-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/material/form-basic.html	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/material/form-basic.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:36	119777/119777	---M-Z	200	added ('OK')	text/html	etag:%221d3e1-556b5254adb51-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/material/form-layout.html	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/material/form-layout.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
09:28:36	109594/109594	---M-Z	200	added ('OK')	text/html	etag:%221ac1a-556b52514b036-gzip%22	https://wrappixel.com/demos/admin-templates/material-pro/material/form-addons.html	C:/My%20Web%20Sites/Totsky/wrappixel.com/demos/admin-templates/material-pro/material/form-addons.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/index.html)
